Phylum,Class,Order,Family,Genus,tax_label
Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,Gammaproteobacteria__Gammaproteobacteria Incertae Sedis__Unknown Family__Acidibacter
Proteobacteria,Gammaproteobacteria,PLTA13,uncultured sludge bacterium,uncultured sludge bacterium,Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium
Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Gemmatimonadetes__Gemmatimonadales__Gemmatimonadaceae__uncultured
Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,Nitrososphaeria__Nitrosopumilales__Nitrosopumilaceae__NA
Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira
Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium
Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,Planctomycetacia__Gemmatales__Gemmataceae__uncultured
Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4 lineage,Planctomycetacia__Pirellulales__Pirellulaceae__Pir4 lineage
Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetacia__Pirellulales__Pirellulaceae__Pirellula
Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,Planctomycetacia__Pirellulales__Pirellulaceae__uncultured
Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,uncultured,Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured
Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Planctopirus,Planctomycetacia__Planctomycetales__Schlesneriaceae__Planctopirus
Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,metagenome,Planctomycetacia__Planctomycetales__uncultured__metagenome
